product_name,brands,pnns_groups_1,pnns_groups_2,energy-kcal_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,proteins_100g,nutriscore_grade,nova_group,environmental_score_grade,unique_scans_n
Bolognaise végétarienne,Saclà,Fat and sauces,Dressings and sauces,88.0,4.0,5.3,0.6,1.5,0.0,3.4,c,3,b,1
Pesto alla genovese,Saclà,Fat and sauces,Dressings and sauces,448.0,5.7,43.0,5.5,3.0,1.8,3.0,e,4,d,5
Lasagne,Saclà,Cereals and potatoes,Cereals,358.0,3.5,1.5,0.3,0.01,0.0,11.5,b,1,unknown,1
Tomates salsiccia,Saclà,unknown,unknown,93.0,6.2,4.8,1.4,1.0,0.0,4.3,unknown,4,unknown,1
Tomates sechees au soleil,Saclà,Fat and sauces,Dressings and sauces,208.0,1.5,15.8,1.8,3.15,1.2,3.0,d,4,f,1
Arrabiata,Saclà,Fat and sauces,Dressings and sauces,284.0,6.7,26.6,3.0,2.0,0.0,2.2,d,4,a,9
Tomates séchées au soleil avec un filet d’huile d’olive,Saclà,Fruits and vegetables,Vegetables,125.0,7.5,6.6,1.1,3.2,0.0,3.9,d,4,f,1
Huile d'olive vierge extra - Grèce,Saclà,Fat and sauces,Fats,819.0,0.0,91.0,14.0,0.0,0.0,0.0,b,2,e,3
Sugo Cacio e Pepe,Mangiare da Re,Fat and sauces,Dressings and sauces,172.0,0.0,15.3,5.5,1.8,0.0,5.4,d,4,unknown,7
Pesto Classic Basil,Saclà,Fat and sauces,Dressings and sauces,380.0,3.5,36.0,5.0,2.65,2.3,4.9,e,4,d,224
Simmenthal 3 Scatole da 70g,Simmenthal,Fish Meat Eggs,Meat,61.0,0.2,1.5,0.7,1.9,0.5,11.0,c,4,unknown,5
Simmenthal,Simmenthal,Fish Meat Eggs,Meat,61.0,0.2,1.5,0.7,1.9,0.5,11.0,c,4,unknown,4
Simmenthal,Simmenthal,Fish Meat Eggs,Meat,61.0,0.2,1.5,0.7,1.9,0.5,11.0,c,4,unknown,4
Simmenthal,Simmenthal,unknown,unknown,61.0,0.2,1.5,0.7,1.9,0.5,11.5,c,4,unknown,1
Parmigiano Reggiano Râpé,Grattugiato fresco,Milk and dairy products,Cheese,402.0,0.0,30.0,20.0,1.6,0.0,32.0,d,3,b,2
Risotteria Asparagi,Knorr,Composite foods,One-dish meals,95.0,0.5,0.5,0.1,0.53,2.2,2.2,c,4,unknown,1
Risotteria milanese,Knorr,Cereals and potatoes,Cereals,120.0,0.8,0.8,0.5,0.83,0.5,2.5,unknown,4,f,3
Risotteria - Funghi,Knorr,Composite foods,One-dish meals,120.0,0.5,0.7,0.3,0.9,0.9,2.5,c,4,c,6
Knorr Risotto Al Pomodoro New GR 175,Knorr,unknown,unknown,120.0,2.0,0.5,0.2,0.88,0.8,0.8,unknown,4,unknown,1
Passato tradizionale,Knorr,unknown,unknown,29.0,1.0,0.5,0.1,0.73,0.9,1.0,unknown,4,unknown,1
Brodo granulare classico,Knorr,unknown,unknown,5.0,0.2,0.0,0.0,1.1,0.0,0.3,unknown,4,unknown,1
Gran purè,Knorr,Cereals and potatoes,Potatoes,69.0,3.0,1.0,0.6,0.1,1.0,3.0,unknown,4,a,7
Crema Cacao Nocciole senza latte,Germinal Bio,Sugary snacks,Sweets,563.0,50.0,35.0,5.1,0.01,4.0,5.0,e,4,d,1
Galletas de Quinoa rellenas de cacao,Germinal,Sugary snacks,Biscuits and cakes,481.0,30.0,23.0,6.5,0.61,4.2,6.3,e,4,a,3
Biscotti vegan,Germinal Bio,unknown,unknown,447.0,20.0,17.0,2.0,0.83,8.2,7.5,unknown,4,unknown,1
Quinoa flakes,GerminalBIO,unknown,unknown,385.0,5.7,2.7,0.6,2.4,4.5,8.9,d,4,unknown,2
Flakes amaranto germinal bio,germinal bio,Cereals and potatoes,Cereals,390.0,7.3,3.4,0.6,1.2,5.8,10.0,c,4,a,1
